Titre,Auteur,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
La modernité désenchantée,"Emmanuel Fureix, François Jarrige",Française,9782348057540,5,11,2024,2024-11-05T00:00:00Z,5,20,2024,2024-05-20T00:00:00Z,9,M,Ebook,416,La Découverte
L’autre moitié du monde,Laurine Roux,Française,9782373852530,5,20,2024,2024-05-20T00:00:00Z,5,23,2024,2024-05-23T00:00:00Z,3,F,Ebook,255,La peuplade
Mélancolie ouvrière,Michelle Perrot,Française,9782246797791,5,24,2024,2024-05-24T00:00:00Z,5,26,2024,2024-05-26T00:00:00Z,2,F,Ebook,192,Grasset
Des archives considérées comme une substance hallucinogène,Michel Melot,Française,9782357231801,5,25,2024,2024-05-25T00:00:00Z,5,25,2024,2024-05-25T00:00:00Z,0,M,Broché,46,Ecole nationale des chartes
Encabanée,Gabrielle Filteau-Chiba,Canadienne,9782361397029,5,26,2024,2024-05-26T00:00:00Z,5,28,2024,2024-05-28T00:00:00Z,2,F,Ebook,120,Les mots et le reste
"Vidal, tueur de femmes","Philippe Artières, Dominique Kalifa",Française,9782864329220,5,26,2024,2024-05-26T00:00:00Z,6,4,2024,2024-04-06T00:00:00Z,9,M,Ebook,368,Verdier
Betty,Tiffany McDaniel,Américaine,9782351782453,6,2,2024,2024-02-06T00:00:00Z,7,13,2024,2024-07-13T00:00:00Z,41,F,Ebook,720,Gallmeister
Les campagnes Françaises à l’époque moderne,Emmanuelle Charpentier,Française,9782200624552,6,5,2024,2024-05-06T00:00:00Z,6,30,2024,2024-06-30T00:00:00Z,25,F,Ebook,368,Armand Colin
Schizophrénie numérique,Anne Alombert,Française,9791030429671,7,2,2024,2024-02-07T00:00:00Z,7,9,2024,2024-09-07T00:00:00Z,7,F,Broché,94,Allia
Le miasme et la jonquille,Alain Corbin,Française,9782081382411,7,11,2024,2024-11-07T00:00:00Z,8,4,2024,2024-04-08T00:00:00Z,24,M,Ebook,432,Flammarion
La Fabrique du droit,Bruno Latour,Française,9782707144720,7,16,2024,2024-07-16T00:00:00Z,8,15,2024,2024-08-15T00:00:00Z,30,M,Broché,324,La Découverte
Colline,Jean Giono,Française,9782253002895,7,21,2024,2024-07-21T00:00:00Z,7,22,2024,2024-07-22T00:00:00Z,1,M,Ebook,160,Le livre de poche
Le grand troupeau,Jean Giono,Française,9782070367603,7,22,2024,2024-07-22T00:00:00Z,7,28,2024,2024-07-28T00:00:00Z,6,M,Ebook,256,Le livre de poche
L’île,Sigríður Hagalín Björnsdóttir,Islandaise,9782847208153,8,4,2024,2024-04-08T00:00:00Z,8,6,2024,2024-06-08T00:00:00Z,2,F,Ebook,272,Gaïa
Nouvelle histoire de la révolution,Annie Jourdan,Française,9782081250369,8,6,2024,2024-06-08T00:00:00Z,9,1,2024,2024-01-09T00:00:00Z,26,F,Ebook,656,Flammarion
La danse de l’argia,Clara Gallini,Italienne,9782841626908,8,21,2024,2024-08-21T00:00:00Z,8,26,2024,2024-08-26T00:00:00Z,5,F,Broché,344,Edition de l’éclats
"Io, Jean Gabin",Goliarda Sapienza,Italienne,9782370551276,8,24,2024,2024-08-24T00:00:00Z,8,30,2024,2024-08-30T00:00:00Z,6,F,Broché,138,Le Tripode
The Women's Room,Marilyn French,Américaine,9782221269664,8,15,2024,2024-08-15T00:00:00Z,9,15,2024,2024-09-15T00:00:00Z,31,F,Ebook,704,Robert Laffont
La Vendée et la Révolution,Jean-Clément Martin,Française,9782262025977,9,2,2024,2024-02-09T00:00:00Z,9,7,2024,2024-07-09T00:00:00Z,5,M,Ebook,288,Perrin
La mine en procès,Philippe Artières,Française,9782381910628,9,7,2024,2024-07-09T00:00:00Z,9,25,2024,2024-09-25T00:00:00Z,18,M,Broché,256,Anamosa
Jour de ressac,Maylis de Kerangal,Française,9782073054975,9,15,2024,2024-09-15T00:00:00Z,9,20,2024,2024-09-20T00:00:00Z,5,F,Broché,256,Verticales
