Titre,Auteur,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,écart date,Genre auteur,Format,Pages,Editeur
Pacific Park,Philip K. Dick,9782264041890,1,1,2020,1/1/2020,1,3,2020,3/1/2020,2,M,broché,244,10/18
Le déclin de la lune,Joseph Coulson,9782848050379,1,3,2020,3/1/2020,1,10,2020,10/1/2020,7,M,broché,496,Sabine Wespieser
Dondog,Antoine Volodine,9782020617109,1,10,2020,10/1/2020,1,15,2020,15/1/2020,5,M,broché,368,Seuil
Sex-shop,Baptiste Coulmont,9782916275161,1,15,2020,15/1/2020,1,25,2020,25/1/2020,10,M,broché,264,Dilecta
La Montagne magique T.2,Thomas Mann,9782253018452,1,16,2020,16/1/2020,3,1,2020,1/3/2020,45,M,Ebook,458,Livre de poche
Norlisk,Taline Ter Minassian,9782365090872,1,26,2020,26/1/2020,1,26,2020,26/1/2020,0,F,broché,176,B2
Une bête au paradis,Cécile Coulon,9782378800789,1,26,2020,26/1/2020,1,29,2020,29/1/2020,3,F,Ebook,354,L’Iconoclaste
Les certitudes du doute,Goliarda Sapienza,9782370550453,1,30,2020,30/1/2020,2,8,2020,8/2/2020,9,F,broché,240,Le Tripode
Histoire du rock à Marseille,Pascal Escobar,9782361397739,2,8,2020,8/2/2020,2,11,2020,11/2/2020,3,M,broché,352,Le mot et le reste
La fabrique du monstre,Philippe Pujol,9782352044598,2,13,2020,13/2/2020,2,17,2020,17/2/2020,4,M,Ebook,315,Les arènes
Les grande villes n’existent pas,Cécile Coulon,9782370210999,2,29,2020,29/2/2020,2,29,2020,29/2/2020,0,F,broché,112,Raconter la vie
Ok Computer,Michel Delville,9782919296323,2,24,2020,24/2/2020,2,29,2020,29/2/2020,5,M,broché,96,Densite
Le compagnon de voyage,Curzio Malaparte,9782710330905,3,1,2020,1/3/2020,3,1,2020,1/3/2020,0,M,Ebook,112,Quai Voltaire
Americana,Don DeLillo,9782742726530,3,1,2020,1/3/2020,3,17,2020,17/3/2020,16,M,broché,464,Actes Sud
Mémoires vives,Edward Snowden,9782021441048,3,17,2020,17/3/2020,3,26,2020,26/3/2020,9,M,Ebook,384,Seuil
Une histoire de France,Nathalie Heinich,9782081470088,3,26,2020,26/3/2020,3,28,2020,28/3/2020,2,F,Ebook,240,Flammarion
Forêt-Furieuse,Sylvain Pattieu,9782812618338,3,28,2020,28/3/2020,4,3,2020,3/4/2020,6,M,Ebook,656,Rouergue
Orgueils et préjugés,Jane Austen,9782081229501,4,4,2020,4/4/2020,4,11,2020,11/4/2020,7,F,Ebook,368,Flammarion
Féminisme décolonial,Françoise Vergès,9782358721745,4,14,2020,14/4/2020,4,15,2020,15/4/2020,1,F,Ebook,208,La Fabrique
Les héroïnes de séries américaines,Céline Morin,9782869064911,4,11,2020,11/4/2020,4,13,2020,13/4/2020,2,F,Ebook,288,François Rabelais
Le complexe de la sorcière,Isabelle Sorente,9782709666268,4,16,2020,16/4/2020,4,20,2020,20/4/2020,4,F,Ebook,300,Lattes
Exit Wounds,Rutu Modan,9782742771073,4,19,2020,19/4/2020,4,21,2020,21/4/2020,2,F,broché,176,Actes Sud
Expo 58,Jonathan Coe,9782070455102,4,22,2020,22/4/2020,4,26,2020,26/4/2020,4,M,broché,368,Gallimard
Boys don’t cry,Coll.,9782753518278,4,22,2020,22/4/2020,5,15,2020,15/5/2020,23,C,Ebook,332,Presse Universitaire de Rennes
American Tabloid,James Ellroy,9782743656485,5,15,2020,15/5/2020,6,6,2020,6/6/2020,22,M,broché,784,Rivages
Americain Death trip,James Ellroy,9782743611705,6,6,2020,6/6/2020,7,15,2020,15/7/2020,39,M,broché,960,Rivages
Underworld USA,James Ellroy,9782743656492,7,16,2020,16/7/2020,8,4,2020,4/8/2020,19,M,broché,928,Rivages
Histoire de la Normandie,Coll.,2000166985317,7,22,2020,22/7/2020,10,3,2020,3/10/2020,73,C,broché,540,Privat
Meurtres à Atlanta,James Baldwin,9782234088238,8,5,2020,5/8/2020,8,8,2020,8/8/2020,3,M,Ebook,180,Stock
Un monde à portée de main,Maylis de Kerangal,9782072790522,8,9,2020,9/8/2020,8,15,2020,15/8/2020,6,F,Ebook,288,Verticales
Une femme à contre-jour,Gaëlle Josse,9782882505682,8,16,2020,16/8/2020,8,18,2020,18/8/2020,2,F,Ebook,160,Noir sur blanc
Vie de Gérard Fulmard,Jean Echenoz,9782707345875,8,19,2020,19/8/2020,8,21,2020,21/8/2020,2,M,Ebook,240,Minuit
