Titre,Auteur,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,écart date,Genre auteur,Format,Pages,Editeur
Testament à l’anglaise,Jonathan Coe,9782070403264,8,23,2020,23/8/2020,9,5,2020,5/9/2020,13,M,broché,688,Gallimard
Une pièce à soi,Virginia Woolf,9782743621858,9,5,2020,5/9/2020,9,13,2020,13/9/2020,8,F,Ebook,192,Rivages
Petit déjeuner chez Tiffany,Truman Capote,9782070363643,9,20,2020,20/9/2020,9,27,2020,27/9/2020,7,M,broché,192,Gallimard
Comédies françaises,Éric Reinhardt,9782072796982,9,26,2020,26/9/2020,10,18,2020,18/10/2020,22,M,broché,480,Gallimard
Le temps des humanités digitales,Olivier Le Deuff,9782364051225,10,3,2020,3/10/2020,10,10,2020,10/10/2020,7,M,broché,176,FYP
Marseille ville morte,René Rebuffat,9782950284716,9,26,2020,26/9/2020,10,25,2020,25/10/2020,29,M,broché,355,Maurice Garçon
Le mirage numérique,Evgeny Morozov,9782350961132,10,18,2020,18/10/2020,10,20,2020,20/10/2020,2,M,broché,144,Les Prairies Ordinaires
L’invention de la mémoire,Georges Chapoutier,9782271089335,10,23,2020,23/10/2020,11,1,2020,1/11/2020,9,M,Ebook,300,CNRS
Tempête,William Shakespeare,9782081331808,11,1,2020,1/11/2020,11,3,2020,3/11/2020,2,M,broché,304,Flammarion
Qu’est-ce que le patrimoine numérique ?,Matteo Treleani,9782356875150,11,6,2020,6/11/2020,11,7,2020,7/11/2020,1,M,broché,104,Le bord de l’eau
La Fameuse Invasion de la Sicile par les ours,Dino Buzzati,9782075118781,11,6,2020,6/11/2020,11,8,2020,8/11/2020,2,M,broché,176,Gallimard
Franck Merriwell à la Maison blanche,Ward Moore,9782369350217,11,8,2020,8/11/2020,11,9,2020,9/11/2020,1,M,broché,80,Passager clandestin
A voté,Isaac Asimov,9782369352297,11,9,2020,9/11/2020,11,11,2020,11/11/2020,2,M,broché,56,Passager clandestin
Histoire de la nuit,Laurent Mauvignier,9782707347268,11,15,2020,15/11/2020,11,23,2020,23/11/2020,8,M,Ebook,608,Minuit
Algorithmes : la bombe à retardement,Cathy O'Neil,9782352049807,11,24,2020,24/11/2020,11,30,2020,30/11/2020,6,F,Ebook,340,Les arènes
Harry Potter Tome 1,J. K. Rowling,9782070584628,12,1,2020,1/12/2020,12,8,2020,8/12/2020,7,F,broché,320,Gallimard
Le quai de Ouistream,Florence Aubenas,9782879296777,12,13,2020,13/12/2020,12,16,2020,16/12/2020,3,F,Ebook,276,L’Olivier
Turing à la plage,Rachid Guerraoui,9782100795550,12,16,2020,16/12/2020,12,21,2020,21/12/2020,5,M,Ebook,208,Dunod
Big Data et traçabilité numérique,Coll.,9782722604667,12,8,2020,8/12/2020,12,31,2020,31/12/2020,23,C,Ebook,218,Collège de France
Situer le numérique,Gauthier Roussilhe,N/A,12,10,2020,10/12/2020,12,13,2020,13/12/2020,3,M,Ebook,N/A,N/A
