Titre,Auteur,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,écart date,Genre auteur,Format,Pages,Editeur
Enquête sur les pratiques savantes ordinaires,Joëlle Le Marec et François Mairesse,9782356875143,1,1,2022,1/1/2022,1,1,2022,1/1/2022,0,C,broché,136,Le Bord de l’eau
La nuit. Le sommeil. La mort. Les étoiles.,Joyce Carole Oates,9782848768953,1,1,2022,1/1/2022,1,19,2022,19/1/2022,18,F,Ebook,923,Philippe Rey
L’impossible patrimoine numérique ?,Hélène Bourdeloie et Christine Chevret-Castellani,9782356875167,1,5,2022,5/1/2022,1,11,2022,11/1/2022,6,F,broché,143,Le Bord de l’eau
La guerre de Sécession,John Keegan,9782262032494,1,12,2022,12/1/2022,1,31,2022,31/1/2022,19,H,Ebook,516,Perrin
Le bal au Kremlin,Curzio Malaparte,9782070767120,1,22,2022,22/1/2022,1,23,2022,23/1/2022,1,H,broché,196,Gallimard
La ferme des animaux,Georges Orwell,9782377291168,1,31,2022,31/1/2022,2,5,2022,5/2/2022,5,H,broché,168,Libertalia
Ruines biens rangées,Hélène Cixous,9782072860188,2,2,2022,2/2/2022,2,6,2022,6/2/2022,4,F,Ebook,160,Gallimard
Le roi n’a pas sommeil,Cécile Coulon,9782878585094,2,7,2022,7/2/2022,2,14,2022,14/2/2022,7,F,Ebook,152,Viviane Hamy
Architecture de la contre-révolution,Samia Henni,9782490077205,2,6,2022,6/2/2022,2,17,2022,17/2/2022,11,F,broché,352,B42
L’espace public au Moyen Âge,Patrick Boucheron et Nicolas Offenstadt,9782130740261,2,14,2022,14/2/2022,2,26,2022,26/2/2022,12,C,Ebook,380,PUF
Le goût du vrai,Etienne Klein,9782072916717,2,19,2022,19/2/2022,2,19,2022,19/2/2022,0,H,broché,64,Gallimard
Girandulata,Jérôme Colonna d’Istria,9782361572945,2,26,2022,26/2/2022,2,27,2022,27/2/2022,1,H,broché,200,Transboréal
Vers une république des biens communs ?,"Nicole Alix, Jean-Louis Bancel, Benjamin Coriat, Frédéric Sultan",9791020906120,2,28,2022,28/2/2022,3,19,2022,19/3/2022,19,C,broché,320,Les liens qui libèrent
Carnet de mémoires coloniales,Isabela Figueiredo,9782367322223,3,2,2022,2/3/2022,3,5,2022,5/3/2022,3,F,Ebook,238,Chandeigne
La rumeur d’Orléans,Edgar Morin,9782021199406,3,5,2022,5/3/2022,3,12,2022,12/3/2022,7,H,Ebook,256,Le Seuil
Canoës,Maylis de Kerengal,9782072945564,3,12,2022,12/3/2022,3,16,2022,16/3/2022,4,F,broché,176,Verticales
Mordre au travers,Virginie Despentes,9782290230312,3,15,2022,15/3/2022,3,20,2022,20/3/2022,5,F,Ebook,128,Librio
L'éblouissement des petites filles,Timothée Stanculescu,9782080256171,3,18,2022,18/3/2022,3,24,2022,24/3/2022,6,F,Ebook,368,Flammarion
Algérie 1962,Malika Rahal,9782348073038,3,24,2022,24/3/2022,4,08,2022,08/4/2022,15,F,Ebook,496,La découverte
Marx et la poupée ,Maryam Madjidi ,9782371000438,4,9,2022,9/4/2022,4,13,2022,13/4/2022,4,F,Ebook,202,Nouvel Attila
L’écho du lac,Kapka Kassabova ,9791095582632,4,13,2022,13/4/2022,4,22,2022,22/4/2022,9,F,Ebook,480,Marchialy
La guerre des boutons,Louis Pergaud,9782013230049,4,23,2022,23/4/2022,5,12,2022,12/5/2022,19,H,broché,224,Gallimard
Lisière,Kapka Kassabova ,9791095582502,5,1,2022,1/5/2022,5,18,2022,18/5/2022,17,F,broché,488,Marchialy
La colonisation du quotidien,Patcik Cingolani,9782354802271,5,7,2022,7/5/2022,5,15,2022,15/5/2022,8,H,broché,240,Amsterdam
La Saga Crispr,Aline Richard Zivohlava,9782081375741,5,5,2022,5/5/2022,5,16,2022,16/5/2022,11,F,Ebook,400,Flammarion
"Ma sœur, serial killeuse",Oyinkan Braithwaite,9782413015659,5,15,2022,15/5/2022,5,19,2022,19/5/2022,4,F,Ebook,240,Delcourt
La privatisation numérique,Gilles Jeannot et Simon Cottin-Marx,9791097084240,5,17,2022,17/5/2022,5,22,2022,22/5/2022,5,H,broché,160,Raisons d’agir
Leurs enfants après eux,Nicolas Mathieu,9782330108717,5,22,2022,22/5/2022,5,28,2022,28/5/2022,6,H,Ebook,432,Actes sud
La vérité sur la lumière,Audur Ava Olafsdottir,9791038700642,5,28,2022,28/5/2022,5,31,2022,31/5/2022,3,F,Ebook,224,Zulma
Seyvoz,"Maylis de Kerengal, Joy Sorman",9782360841394,5,31,2022,31/5/2022,6,4,2022,4/6/2022,4,F,Ebook,100,Inculte
Parce que Vénus a frôlé un cyclamen le jour de ma naissance,Mona Høvring,9782882506900,6,4,2022,4/6/2022,6,4,2022,4/6/2022,0,F,broché,160,Notabilia
Folles nuits,Joyce Carole Oates,9782848761824,6,5,2022,5/6/2022,6,16,2022,16/6/2022,11,F,broché,238,Philippe Rey
Se défendre,Elsa Dorlin,9782355221101,6,7,2022,7/6/2022,6,20,2022,20/6/2022,13,F,Ebook,200,Zones
L’art de perdre,Alice Zeniter,9782081418011,6,20,2022,20/6/2022,6,29,2022,29/6/2022,9,F,Ebook,512,Flammarion
"Numérique, la tentation du service",Pierre-Damien Huyghe,9782490077717,6,29,2022,29/6/2022,7,11,2022,11/7/2022,12,H,broché,136,B42
La certitude du doute,Goliarda Sapienza,9782370550453,6,30,2022,30/6/2022,7,4,2022,4/7/2022,4,F,broché,240,Le tripode Attila
Une sortie honorable,Eric Vuillard,9782330159665,7,5,2022,5/7/2022,7,5,2022,5/7/2022,0,H,Ebook,208,Actes sud
Crimes sexuels et société à la fin de l’Ancien Régime,Enora Peronneau Saint-Jalmes,9782262095956,7,7,2022,7/7/2022,7,18,2022,18/7/2022,11,F,Ebook,500,Perrin
Connemara,Nicolas Mathieu,9782330159702,7,18,2022,18/7/2022,7,23,2022,23/7/2022,5,H,Ebook,400,Actes sud
Terra Alta,Javier Cercas,9782330150143,7,23,2022,23/7/2022,7,26,2022,26/7/2022,3,H,Ebook,320,Actes sud
Indépendance,Javier Cercas,9782330165437,7,26,2022,26/7/2022,8,2,2022,2/8/2022,7,H,Ebook,352,Actes sud
Se libérer de la domination des chiffres,Valérie Charolles,9782213717241,7,23,2022,23/7/2022,8,5,2022,5/8/2022,13,F,Ebook,298,Fayard
Romance in Marseille,Claude McKay ,9791097210069,8,5,2022,5/8/2022,8,6,2022,6/8/2022,1,H,Ebook,148,Héliotropismes
Conquistadors,Eric Vuillard,9782330053222,8,7,2022,7/8/2022,8,14,2022,14/8/2022,7,H,broché,400,Actes sud
Au pied du mur,Vincent Lemire,9782021461954,8,9,2022,9/8/2022,8,14,2022,14/8/2022,5,H,Ebook,416,Seuil
L’homme qui savait la langue des serpents,Andrus Kivirähk,9782370550637,8,15,2022,15/8/2022,8,26,2022,26/8/2022,11,H,Ebook,480,Le tripode Attila
Photo de famille,Isabelle Clair et Elsa Dorlin,9782713229176,8,15,2022,15/8/2022,8,24,2022,24/8/2022,9,F,broché,464,EHESS
Tout le monde peut être féministe,Bell Hooks,9791097088286,8,27,2022,27/8/2022,8,27,2022,27/8/2022,0,F,broché,168,Divergences
La volonté de changer,Bell Hooks,9791097088415,8,28,2022,28/8/2022,9,9,2022,9/9/2022,12,F,broché,240,Divergences
Cher connard,Virginie Despentes,9782246826514,8,27,2022,27/8/2022,9,10,2022,10/9/2022,14,F,Ebook,352,Grasset
Manaraga,Vladimir Sorokine,9782355970382,8,28,2022,28/8/2022,9,03,2022,03/9/2022,6,H,broché,250,L’inventaire
L’ironie du destin,Sabine Dullin,9782228929295,9,9,2022,9/9/2022,10,04,2022,04/10/2022,25,F,broché,304,Payot
Chavirer,Lola Lafon,9782330139346,9,10,2022,10/9/2022,09,12,2022,12/09/2022,2,F,Ebook,352,Actes sud
La Saison des prunes,Patrice Nganang,9782848762890,9,12,2022,12/9/2022,09,22,2022,22/09/2022,10,H,Ebook,448,Philippe Rey
Vivre vite,Brigitte Giraud,9782080207340,9,22,2022,22/9/2022,09,23,2022,23/09/2022,1,F,Ebook,208,Flammarion
Les masques et la mosquée,François-Xavier Fauvelle,9782271143709,9,26,2022,26/9/2022,10,9,2022,9/10/2022,13,H,Ebook,400,CNRS édition
Quand tu écouteras cette chanson,Lola Lafon,9782234092471,10,9,2022,9/10/2022,10,10,2022,10/10/2022,1,F,Ebook,180,Stock
Les cercueils de zinc,Svletana Alexievitch,9782267016307,10,10,2022,10/10/2022,10,24,2022,24/10/2022,14,F,Ebook,384,Christian Bourgeois
Ce qui ne peut être volé,Cynthia Fleury et Antoine Fenoglio,9782072997327,10,24,2022,24/10/2022,10,25,2022,25/10/2022,1,C,Ebook,48,Gallimard
Panthères et pirates,Sylvain Pattieu,9782348069109,10,25,2022,25/10/2022,10,30,2022,30/10/2022,5,H,Ebook,300,La découverte
L’état qu’il nous faut,"Daniel Agacinski, Romain Beaucher, Céline Danion",9782701321639,10,24,2022,24/10/2022,10,30,2022,30/10/2022,6,C,broché,163,Berger-Levrault
Toute une moitié du monde,Alice Zeniter,9782080259332,11,1,2022,1/11/2022,11,4,2022,4/11/2022,3,F,Ebook,240,Flammarion
Flux,Mathieu Quet,9782355221774,11,1,2022,1/11/2022,11,27,2022,27/11/2022,26,H,broché,157,Zones
"Quatre heures, vingt deux minutes et dix-huit secondes",Lionel Shriver,9782714494375,11,4,2022,4/11/2022,11,14,2022,14/11/2022,10,F,Ebook,384,Belfond
Les damnées de la mer - Femmes et frontières en Méditerranée ,Camille Schmoll,9782348041075,11,14,2022,14/11/2022,11,20,2022,20/11/2022,6,F,Ebook,248,La découverte
L’Amérique,Joan Didion,9782253156499,11,19,2022,19/11/2022,11,27,2022,27/11/2022,8,F,broché,336,Grasset
Le pied à terre,Cécile Coulon,9782080253446,11,27,2022,27/11/2022,11,27,2022,27/11/2022,0,F,broché,192,Arthaud
Crossroads,Jonathan Franzen,9782823614565,11,24,2022,24/11/2022,12,19,2022,19/12/2022,25,H,Ebook,704,De l’Olivier
Liv Maria,Julia Kerninon,9782378801540,11,29,2022,29/11/2022,11,30,2022,30/11/2022,1,F,Ebook,270,Iconoclaste
La petite communiste qui ne souriait jamais,Lola Lafon,9782330051204,12,4,2022,4/12/2022,12,5,2022,5/12/2022,1,F,broché,302,Actes sud
